Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC 92: The Ultimate 2008,Antonio Rodrigo Nogueira ,Frank Mir ,UFC Interim Heavyweight Title Bout, KO/TKO ,2,1:54,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,Frank Mir ,3,37,101,36%,40 of 106,1,1,100%,0,0,0:41,30 of 91,2 of 3,5 of 7,25 of 79,2 of 3,10 of 19,Antonio Rodrigo Nogueira ,0,10,38,26%,15 of 43,0,0,---,0,0,0:00,8 of 35,0 of 1,2 of 2,9 of 35,0 of 1,1 of 2
UFC 92: The Ultimate 2008,Forrest Griffin ,Rashad Evans ,UFC Light Heavyweight Title Bout, KO/TKO ,3,2:46,5 Rnd (5-5-5-5-5),Steve Mazzagatti,Punches to Head On Ground,Rashad Evans ,0,49,103,47%,51 of 105,1,1,100%,0,0,2:11,44 of 96,1 of 2,4 of 5,24 of 64,0 of 0,25 of 39,Forrest Griffin ,0,50,149,33%,51 of 151,0,0,---,0,0,0:03,16 of 100,10 of 17,24 of 32,44 of 141,6 of 8,0 of 0
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,George Roop ,Shane Nelson ,Lightweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Adalaide Byrd 28 - 29. Al Lefkowitz 29 - 28. Marcos Rosales 28 - 29.,Shane Nelson ,0,10,32,31%,69 of 95,3,10,30%,2,0,7:58,10 of 32,0 of 0,0 of 0,1 of 9,1 of 3,8 of 20,George Roop ,0,21,74,28%,93 of 153,1,1,100%,0,0,3:57,10 of 56,8 of 15,3 of 3,8 of 45,9 of 21,4 of 8
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Kyle Kingsbury ,Tom Lawlor ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,Glenn Trowbridge 28 - 29. Roy Silbert 28 - 29. Jeff Collins 28 - 29.,Tom Lawlor ,0,14,22,63%,70 of 82,7,19,36%,0,0,11:22,14 of 22,0 of 0,0 of 0,0 of 0,2 of 4,12 of 18,Kyle Kingsbury ,0,10,22,45%,101 of 116,0,0,---,0,0,2:19,6 of 18,3 of 3,1 of 1,1 of 10,5 of 8,4 of 4
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Jules Bruchez ,Eliot Marshall ,Light Heavyweight Bout, Submission ,1,1:27,3 Rnd (5-5-5),Mario Yamasaki,Rear Naked Choke,Eliot Marshall ,0,8,15,53%,13 of 20,1,1,100%,2,0,1:05,8 of 15,0 of 0,0 of 0,5 of 11,2 of 3,1 of 1,Jules Bruchez ,0,1,2,50%,3 of 4,0,0,---,0,0,0:00,0 of 1,0 of 0,1 of 1,0 of 1,1 of 1,0 of 0
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Shane Primm ,Krzysztof Soszynski ,Light Heavyweight Bout, Submission ,2,3:27,3 Rnd (5-5-5),Herb Dean,Kimura From Half Guard,Krzysztof Soszynski ,0,19,50,38%,38 of 69,0,0,---,1,0,4:43,16 of 47,2 of 2,1 of 1,9 of 33,4 of 8,6 of 9,Shane Primm ,0,7,26,26%,12 of 31,1,5,20%,0,0,1:17,2 of 19,4 of 6,1 of 1,1 of 14,6 of 12,0 of 0
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,David Kaplan ,Junie Browning ,Lightweight Bout, Submission ,2,1:32,3 Rnd (5-5-5),Steve Mazzagatti,Armbar From Side Control,Junie Browning ,0,31,63,49%,38 of 71,2,2,100%,2,1,3:06,21 of 50,5 of 6,5 of 7,25 of 48,3 of 7,3 of 8,David Kaplan ,0,12,29,41%,14 of 32,2,2,100%,1,1,1:00,5 of 17,3 of 4,4 of 8,8 of 22,4 of 7,0 of 0
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Jason MacDonald ,Wilson Gouveia ,Middleweight Bout, KO/TKO ,1,2:18,3 Rnd (5-5-5),Josh Rosenthal,Elbow to Head From Half Guard Submission to Strikes,Wilson Gouveia ,1,18,28,64%,24 of 39,0,0,---,0,0,0:45,17 of 26,0 of 0,1 of 2,4 of 10,0 of 0,14 of 18,Jason MacDonald ,0,6,13,46%,9 of 16,1,4,25%,0,0,0:37,0 of 7,1 of 1,5 of 5,2 of 9,4 of 4,0 of 0
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Kevin Burns ,Anthony Johnson ,Welterweight Bout, KO/TKO ,3,0:28,3 Rnd (5-5-5),Mario Yamasaki,Kick to Head At Distance,Anthony Johnson ,1,35,64,54%,109 of 148,3,3,100%,0,0,7:29,15 of 39,9 of 12,11 of 13,23 of 38,0 of 0,12 of 26,Kevin Burns ,0,17,45,37%,39 of 67,0,0,---,2,0,0:01,7 of 32,1 of 3,9 of 10,17 of 45,0 of 0,0 of 0
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Vinny Magalhaes ,Ryan Bader ,Ultimate Fighter 8 Light Heavyweight Tournament Title Bout, KO/TKO ,1,2:18,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Ryan Bader ,1,15,30,50%,15 of 30,0,0,---,0,0,0:04,9 of 24,2 of 2,4 of 4,12 of 26,0 of 0,3 of 4,Vinny Magalhaes ,0,4,20,20%,4 of 20,0,0,---,0,0,0:00,1 of 14,3 of 5,0 of 1,4 of 20,0 of 0,0 of 0
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Phillipe Nover ,Efrain Escudero ,Ultimate Fighter 8 Lightweight Tournament Title Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Patricia Morse-Jarman 28 - 29. Glenn Trowbridge 28 - 29. Marcos Rosales 28 - 29.,Efrain Escudero ,0,27,45,60%,81 of 104,7,8,87%,0,0,9:20,9 of 22,4 of 8,14 of 15,4 of 13,6 of 9,17 of 23,Phillipe Nover ,0,20,55,36%,95 of 132,0,1,0%,2,1,1:16,9 of 36,4 of 9,7 of 10,11 of 40,7 of 11,2 of 4
UFC Fight Night - Fight for the Troops,Corey Hill ,Dale Hartt ,Lightweight Bout, KO/TKO ,2,0:20,3 Rnd (5-5-5),Donnie Jessup,to Leg Injury,Dale Hartt ,0,8,18,44%,12 of 22,0,0,---,0,0,0:07,0 of 6,1 of 1,7 of 11,8 of 17,0 of 1,0 of 0,Corey Hill ,0,8,25,32%,20 of 37,2,3,66%,0,0,2:21,4 of 18,2 of 3,2 of 4,7 of 22,0 of 0,1 of 3
UFC Fight Night - Fight for the Troops,Brandon Wolff ,Ben Saunders ,Welterweight Bout, KO/TKO ,1,1:49,3 Rnd (5-5-5),Al Coley,Knees to Head In Clinch,Ben Saunders ,1,42,51,82%,49 of 58,0,0,---,0,0,0:48,35 of 43,6 of 7,1 of 1,7 of 10,35 of 41,0 of 0,Brandon Wolff ,0,0,1,0%,4 of 5,0,0,---,0,0,0:06,0 of 1,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0
UFC Fight Night - Fight for the Troops,Johnny Rees ,Steve Bruno ,Welterweight Bout, Submission ,2,3:44,3 Rnd (5-5-5),Donnie Jessup,Rear Naked Choke,Steve Bruno ,0,10,18,55%,37 of 47,3,6,50%,1,0,5:01,5 of 11,2 of 2,3 of 5,2 of 7,5 of 8,3 of 3,Johnny Rees ,0,36,52,69%,49 of 65,1,4,25%,0,0,2:30,15 of 26,15 of 18,6 of 8,4 of 12,27 of 35,5 of 5
UFC Fight Night - Fight for the Troops,Brodie Farber ,Luigi Fioravanti ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Al Coley,  27 - 30.   27 - 30.   27 - 30.,Luigi Fioravanti ,0,30,55,54%,100 of 139,8,10,80%,5,0,9:52,15 of 37,3 of 4,12 of 14,12 of 25,6 of 12,12 of 18,Brodie Farber ,0,10,29,34%,14 of 33,1,2,50%,1,0,0:30,2 of 17,6 of 8,2 of 4,3 of 18,6 of 7,1 of 4
UFC Fight Night - Fight for the Troops,Matt Wiman ,Jim Miller ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,  27 - 30.   27 - 30.   26 - 30.,Jim Miller ,0,61,137,44%,110 of 193,4,6,66%,2,1,10:38,50 of 120,9 of 14,2 of 3,18 of 56,19 of 38,24 of 43,Matt Wiman ,0,20,56,35%,34 of 73,1,3,33%,0,1,0:50,13 of 48,4 of 5,3 of 3,15 of 44,5 of 12,0 of 0
UFC Fight Night - Fight for the Troops,Nate Loughran ,Tim Credeur ,Middleweight Bout, KO/TKO ,2,5:00,3 Rnd (5-5-5),Dan Miragliotta,to Rib Injury,Tim Credeur ,0,52,131,39%,60 of 140,1,1,100%,0,0,3:32,39 of 115,10 of 13,3 of 3,44 of 116,6 of 8,2 of 7,Nate Loughran ,0,25,62,40%,28 of 65,0,3,0%,0,0,0:00,6 of 31,12 of 19,7 of 12,24 of 60,1 of 2,0 of 0
UFC Fight Night - Fight for the Troops,Razak Al-Hassan ,Steve Cantwell ,Light Heavyweight Bout, Submission ,1,4:04,3 Rnd (5-5-5),Mario Yamasaki,Armbar From Mount Technical Submission,Steve Cantwell ,0,15,29,51%,19 of 33,1,1,100%,1,0,1:18,9 of 22,4 of 5,2 of 2,12 of 24,1 of 2,2 of 3,Razak Al-Hassan ,0,13,56,23%,15 of 58,0,1,0%,0,0,0:17,5 of 46,2 of 3,6 of 7,12 of 53,1 of 3,0 of 0
UFC Fight Night - Fight for the Troops,Yoshiyuki Yoshida ,Josh Koscheck ,Welterweight Bout, KO/TKO ,1,2:15,3 Rnd (5-5-5),Mario Yamasaki,Punches to Head At Distance,Josh Koscheck ,1,6,16,37%,6 of 16,0,0,---,0,0,0:00,6 of 16,0 of 0,0 of 0,5 of 14,1 of 2,0 of 0,Yoshiyuki Yoshida ,0,6,17,35%,6 of 17,0,0,---,0,0,0:00,1 of 6,2 of 4,3 of 7,5 of 15,1 of 2,0 of 0
UFC Fight Night - Fight for the Troops,Jonathan Goulet ,Mike Swick ,Welterweight Bout, KO/TKO ,1,0:33,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,Mike Swick ,1,7,8,87%,16 of 17,0,0,---,0,0,0:09,7 of 8,0 of 0,0 of 0,2 of 3,0 of 0,5 of 5,Jonathan Goulet ,0,1,3,33%,1 of 3,0,1,0%,0,0,0:00,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
UFC 97: Redemption,Vinny Magalhaes ,Eliot Marshall ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Sylvain Leblanc 28 - 29. Claude Paquette 27 - 30. Roussel Benoit 27 - 30.,Eliot Marshall ,0,44,164,26%,45 of 165,0,0,---,0,0,0:00,23 of 136,6 of 13,15 of 15,44 of 164,0 of 0,0 of 0,Vinny Magalhaes ,0,34,148,22%,36 of 150,2,3,66%,0,0,1:06,21 of 126,10 of 15,3 of 7,25 of 125,0 of 3,9 of 20
UFC 98: Evans vs Machida,David Kaplan ,George Roop ,Lightweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 29 - 28. Sal D'amato 27 - 30. Lester Griffin 27 - 30.,George Roop ,0,62,226,27%,133 of 302,0,0,---,0,0,0:00,47 of 201,7 of 16,8 of 9,57 of 218,3 of 6,2 of 2,David Kaplan ,0,50,105,47%,98 of 158,5,14,35%,0,0,5:14,10 of 55,5 of 8,35 of 42,48 of 101,1 of 3,1 of 1
UFC 99: The Comeback,Rick Story ,John Hathaway ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Doug Crosby 28 - 29. Howard Hughes 27 - 30. Andy Roberts 28 - 29.,John Hathaway ,0,31,85,36%,102 of 159,4,10,40%,3,1,6:50,9 of 53,12 of 20,10 of 12,14 of 56,14 of 23,3 of 6,Rick Story ,0,21,67,31%,47 of 94,4,4,100%,5,3,4:06,9 of 50,11 of 16,1 of 1,11 of 45,5 of 9,5 of 13
The Ultimate Fighter: United States vs. United Kingdom Finale,Cameron Dollar ,Jason Dent ,Lightweight Bout, Submission ,1,4:46,3 Rnd (5-5-5),Josh Rosenthal,Anaconda Choke From Front Headlock,Jason Dent ,0,14,36,38%,14 of 36,0,0,---,1,0,0:30,4 of 25,3 of 3,7 of 8,13 of 33,1 of 3,0 of 0,Cameron Dollar ,0,24,63,38%,24 of 63,0,1,0%,0,0,0:05,18 of 56,6 of 7,0 of 0,24 of 61,0 of 2,0 of 0
UFC 100,Matt Grice ,Shannon Gugerty ,Lightweight Bout, Submission ,1,2:36,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Mount,Shannon Gugerty ,0,1,10,10%,7 of 20,1,1,100%,2,0,1:13,1 of 5,0 of 3,0 of 2,0 of 6,0 of 3,1 of 1,Matt Grice ,0,4,8,50%,7 of 11,0,0,---,0,0,0:36,0 of 2,0 of 0,4 of 6,1 of 4,3 of 4,0 of 0
UFC 101: Declaration,Danillo Villefort ,Jesse Lennox ,Welterweight Bout, TKO - Doctor's Stoppage ,3,3:37,3 Rnd (5-5-5),Keith Peterson,Facial Cut,Jesse Lennox ,0,37,114,32%,39 of 121,1,2,50%,0,0,1:07,24 of 94,11 of 18,2 of 2,24 of 93,5 of 9,8 of 12,Danillo Villefort ,0,43,114,37%,46 of 118,1,2,50%,1,0,1:02,18 of 80,12 of 19,13 of 15,30 of 92,4 of 11,9 of 11
UFC 102: Couture vs Nogueira,Marcus Aurelio ,Evan Dunham ,Lightweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Shawn Gregory,Jana Richmond 28 - 29. Nelson Hamilton 29 - 28. Lester Griffin 27 - 30.,Evan Dunham ,1,58,161,36%,70 of 175,1,1,100%,0,0,1:01,52 of 154,2 of 2,4 of 5,51 of 141,2 of 8,5 of 12,Marcus Aurelio ,0,27,102,26%,57 of 133,3,15,20%,1,0,4:13,24 of 99,1 of 1,2 of 2,22 of 84,3 of 11,2 of 7
UFC Fight Night: Diaz vs Guillard,Steve Steinbeiss ,Ryan Jensen ,Middleweight Bout, Submission ,1,3:56,3 Rnd (5-5-5),Gary Ritter,Guillotine Choke After Drop to Ground Technical Submission,Ryan Jensen ,0,9,17,52%,22 of 30,1,1,100%,1,0,2:10,7 of 15,1 of 1,1 of 1,4 of 8,0 of 0,5 of 9,Steve Steinbeiss ,0,7,19,36%,14 of 26,0,0,---,0,0,0:19,6 of 18,1 of 1,0 of 0,7 of 19,0 of 0,0 of 0
UFC 103: Franklin vs Belfort,Rob Emerson ,Rafael Dos Anjos ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Steve Armstrong 27 - 30. Cecil Peoples 27 - 30. Doug Crosby 27 - 30.,Rafael Dos Anjos ,0,52,165,31%,85 of 201,2,12,16%,0,0,4:18,21 of 125,3 of 8,28 of 32,43 of 137,4 of 10,5 of 18,Rob Emerson ,0,27,172,15%,34 of 181,0,1,0%,0,0,0:20,16 of 156,1 of 5,10 of 11,23 of 162,3 of 7,1 of 3
UFC 103: Franklin vs Belfort,Igor Pokrajac ,Vladimir Matyushenko ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Leon Roberts,Sal D'amato 27 - 30. Chris Lee 27 - 30. David Douglas 27 - 30.,Vladimir Matyushenko ,0,44,106,41%,100 of 167,4,5,80%,1,1,6:42,38 of 100,3 of 3,3 of 3,32 of 83,3 of 5,9 of 18,Igor Pokrajac ,0,17,65,26%,28 of 78,1,2,50%,0,1,0:43,11 of 57,2 of 2,4 of 6,13 of 60,3 of 4,1 of 1
UFC 103: Franklin vs Belfort,Jason Brilz ,Eliot Marshall ,Light Heavyweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Don Turnage,Kent Basinger 27 - 30. Cecil Peoples 27 - 30. Chris Lee 30 - 27.,Eliot Marshall ,0,29,117,24%,53 of 141,0,0,---,0,0,0:24,24 of 111,3 of 4,2 of 2,27 of 113,2 of 4,0 of 0,Jason Brilz ,0,27,105,25%,64 of 145,0,16,0%,0,0,3:40,17 of 94,2 of 2,8 of 9,19 of 82,8 of 23,0 of 0
UFC 103: Franklin vs Belfort,Brian Foster ,Rick Story ,Welterweight Bout, Submission ,2,1:09,3 Rnd (5-5-5),Dan Miragliotta,Arm Triangle From Half Guard,Rick Story ,0,18,59,30%,35 of 78,3,4,75%,1,0,4:23,13 of 53,4 of 5,1 of 1,9 of 43,2 of 3,7 of 13,Brian Foster ,0,6,47,12%,16 of 57,0,2,0%,1,0,0:05,4 of 42,2 of 4,0 of 1,5 of 41,1 of 5,0 of 1
UFC 103: Franklin vs Belfort,Rafaello Oliveira ,Nik Lentz ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Steve Armstrong 28 - 29. Cecil Peoples 28 - 29. Doug Crosby 27 - 30.,Nik Lentz ,0,67,136,49%,124 of 197,4,5,80%,4,0,3:18,35 of 96,24 of 27,8 of 13,36 of 91,13 of 21,18 of 24,Rafaello Oliveira ,0,29,110,26%,91 of 188,4,7,57%,0,1,5:39,24 of 101,3 of 6,2 of 3,18 of 75,7 of 22,4 of 13
UFC 103: Franklin vs Belfort,Steve Lopez ,Jim Miller ,Lightweight Bout, KO/TKO ,2,0:48,3 Rnd (5-5-5),Don Turnage,to Shoulder Injury,Jim Miller ,1,30,87,34%,40 of 97,0,1,0%,1,0,2:18,23 of 76,0 of 4,7 of 7,18 of 64,1 of 1,11 of 22,Steve Lopez ,0,6,49,12%,15 of 59,0,0,---,0,0,0:00,4 of 42,2 of 7,0 of 0,6 of 47,0 of 2,0 of 0
UFC 103: Franklin vs Belfort,Drew McFedries ,Tomasz Drwal ,Middleweight Bout, Submission ,2,1:03,3 Rnd (5-5-5),Leon Roberts,Rear Naked Choke,Tomasz Drwal ,0,31,73,42%,36 of 80,3,7,42%,1,0,2:35,24 of 66,0 of 0,7 of 7,22 of 56,6 of 10,3 of 7,Drew McFedries ,0,17,46,36%,17 of 46,0,0,---,0,0,0:00,12 of 40,2 of 2,3 of 4,16 of 45,1 of 1,0 of 0
UFC 103: Franklin vs Belfort,Cole Miller ,Efrain Escudero ,Lightweight Bout, KO/TKO ,1,3:36,3 Rnd (5-5-5),Yves Lavigne,Punch to Head At Distance,Efrain Escudero ,1,10,32,31%,10 of 32,1,1,100%,0,0,0:05,8 of 27,0 of 0,2 of 5,8 of 26,0 of 3,2 of 3,Cole Miller ,0,6,53,11%,6 of 53,0,0,---,0,0,0:00,3 of 43,2 of 7,1 of 3,6 of 53,0 of 0,0 of 0
UFC 103: Franklin vs Belfort,Hermes Franca ,Tyson Griffin ,Lightweight Bout, KO/TKO ,2,3:26,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,Tyson Griffin ,1,67,149,44%,72 of 154,0,0,---,0,0,0:17,38 of 110,7 of 11,22 of 28,52 of 118,2 of 5,13 of 26,Hermes Franca ,0,11,71,15%,12 of 72,0,0,---,0,0,0:00,5 of 61,1 of 2,5 of 8,10 of 66,1 of 5,0 of 0
UFC 103: Franklin vs Belfort,Frank Trigg ,Josh Koscheck ,Welterweight Bout, KO/TKO ,1,1:25,3 Rnd (5-5-5),Leon Roberts,Punch to Head At Distance,Josh Koscheck ,1,9,17,52%,9 of 17,0,0,---,0,0,0:06,8 of 14,1 of 3,0 of 0,3 of 11,0 of 0,6 of 6,Frank Trigg ,0,1,9,11%,1 of 9,0,0,---,0,0,0:00,1 of 7,0 of 1,0 of 1,1 of 9,0 of 0,0 of 0
UFC 103: Franklin vs Belfort,Martin Kampmann ,Paul Daley ,Welterweight Bout, KO/TKO ,1,2:31,3 Rnd (5-5-5),Yves Lavigne,Punches to Head At Distance,Paul Daley ,0,27,63,42%,29 of 65,0,0,---,0,0,0:00,25 of 60,2 of 3,0 of 0,19 of 50,8 of 13,0 of 0,Martin Kampmann ,0,12,35,34%,12 of 35,0,2,0%,0,0,0:20,9 of 32,3 of 3,0 of 0,8 of 28,4 of 7,0 of 0
UFC 103: Franklin vs Belfort,Mirko Filipovic ,Junior Dos Santos ,Heavyweight Bout, KO/TKO ,3,2:00,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance Submission - Eye Injury,Junior Dos Santos ,0,70,157,44%,83 of 170,0,0,---,0,0,0:48,28 of 103,39 of 51,3 of 3,54 of 132,16 of 25,0 of 0,Mirko Filipovic ,0,22,49,44%,24 of 51,0,1,0%,0,0,0:23,13 of 36,5 of 9,4 of 4,18 of 40,4 of 9,0 of 0
UFC 103: Franklin vs Belfort,Rich Franklin ,Vitor Belfort ,Catch Weight Bout, KO/TKO ,1,3:02,3 Rnd (5-5-5),Yves Lavigne,Punch to Head On Ground,Vitor Belfort ,0,9,22,40%,9 of 22,0,0,---,0,0,0:04,7 of 19,0 of 1,2 of 2,5 of 17,0 of 0,4 of 5,Rich Franklin ,0,4,19,21%,4 of 19,0,1,0%,0,0,0:00,0 of 14,2 of 3,2 of 2,4 of 19,0 of 0,0 of 0
UFC Fight Night: Diaz vs Guillard,Brock Larson ,Mike Pierce ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Tom Jones,Bobby Higdon 27 - 30. Chris Lee 27 - 30. Glenn Trowbridge 27 - 30.,Mike Pierce ,0,27,54,50%,122 of 152,6,11,54%,0,0,11:47,1 of 23,10 of 15,16 of 16,1 of 16,9 of 17,17 of 21,Brock Larson ,0,11,33,33%,37 of 61,0,0,---,1,0,0:49,7 of 28,4 of 5,0 of 0,6 of 17,5 of 16,0 of 0
UFC Fight Night: Diaz vs Guillard,Justin Buchholz ,Jeremy Stephens ,Lightweight Bout, TKO - Doctor's Stoppage ,1,3:23,3 Rnd (5-5-5),Kevin Nix,Facial Cuts,Jeremy Stephens ,2,28,50,56%,30 of 52,0,0,---,0,0,0:26,22 of 43,1 of 2,5 of 5,13 of 24,9 of 12,6 of 14,Justin Buchholz ,0,9,49,18%,11 of 51,0,0,---,0,0,0:00,5 of 43,1 of 3,3 of 3,9 of 48,0 of 1,0 of 0
UFC Fight Night: Diaz vs Guillard,Jay Silva ,CB Dollaway ,Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Leon Roberts,Jim Lambert 28 - 29. Chris Lee 28 - 29. Gary Ritter 28 - 29.,CB Dollaway ,0,32,55,58%,67 of 93,6,10,60%,2,0,10:19,20 of 37,12 of 16,0 of 2,6 of 13,7 of 10,19 of 32,Jay Silva ,0,19,44,43%,61 of 91,0,1,0%,2,1,1:19,14 of 37,5 of 7,0 of 0,13 of 31,3 of 9,3 of 4
UFC Fight Night: Diaz vs Guillard,Chris Wilson ,Mike Pyle ,Welterweight Bout, Submission ,3,2:15,3 Rnd (5-5-5),Dan Miragliotta,Guillotine Choke From Bottom Half Guard,Mike Pyle ,0,12,41,29%,94 of 132,2,6,33%,2,0,6:16,8 of 33,1 of 4,3 of 4,5 of 32,0 of 0,7 of 9,Chris Wilson ,0,19,55,34%,27 of 64,1,2,50%,1,0,1:20,9 of 30,7 of 18,3 of 7,11 of 40,8 of 15,0 of 0
UFC Fight Night: Diaz vs Guillard,Steve Cantwell ,Brian Stann ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin Nix,Bobby Higdon 27 - 30. Jim Lambert 27 - 30. Chris Lee 28 - 29.,Brian Stann ,0,44,178,24%,50 of 184,0,5,0%,0,0,0:06,16 of 142,11 of 18,17 of 18,41 of 166,3 of 12,0 of 0,Steve Cantwell ,0,35,154,22%,36 of 155,0,1,0%,0,0,0:00,16 of 126,14 of 21,5 of 7,34 of 152,1 of 2,0 of 0
UFC Fight Night: Diaz vs Guillard,Tim Credeur ,Nate Quarry ,Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 28 - 29. Cecil Peoples 27 - 29. Glenn Trowbridge 28 - 29.,Nate Quarry ,2,53,131,40%,124 of 225,0,0,---,0,0,8:01,37 of 105,6 of 15,10 of 11,37 of 70,1 of 4,15 of 57,Tim Credeur ,1,40,162,24%,56 of 189,0,0,---,1,0,0:40,31 of 152,7 of 8,2 of 2,38 of 156,0 of 3,2 of 3
UFC Fight Night: Diaz vs Guillard,Jake Ellenberger ,Carlos Condit ,Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Leon Roberts,Sal D'amato 28 - 29. Chris Lee 28 - 29. Cecil Peoples 29 - 28.,Carlos Condit ,0,27,70,38%,168 of 222,1,2,50%,1,2,3:58,21 of 61,5 of 7,1 of 2,4 of 29,4 of 9,19 of 32,Jake Ellenberger ,2,28,59,47%,55 of 93,3,4,75%,3,3,6:46,23 of 51,3 of 6,2 of 2,11 of 27,5 of 11,12 of 21
UFC Fight Night: Diaz vs Guillard,Roger Huerta ,Gray Maynard ,Lightweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Chris Lee 29 - 28. Cecil Peoples 27 - 30. Glenn Trowbridge 27 - 30.,Gray Maynard ,0,23,79,29%,43 of 100,3,7,42%,1,0,3:14,19 of 74,4 of 5,0 of 0,19 of 73,3 of 5,1 of 1,Roger Huerta ,0,40,166,24%,62 of 192,0,0,---,0,0,1:00,22 of 134,5 of 14,13 of 18,31 of 152,8 of 13,1 of 1
UFC Fight Night: Diaz vs Guillard,Melvin Guillard ,Nate Diaz ,Lightweight Bout, Submission ,2,2:13,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Half Guard,Nate Diaz ,0,21,73,28%,27 of 79,2,2,100%,2,0,1:23,13 of 62,4 of 6,4 of 5,15 of 65,6 of 8,0 of 0,Melvin Guillard ,1,11,42,26%,12 of 43,3,3,100%,0,0,0:43,5 of 36,5 of 5,1 of 1,8 of 33,3 of 5,0 of 4
UFC 102: Couture vs Nogueira,Nick Catone ,Mark Munoz ,Middleweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Marcos Rosales 27 - 30. Glenn Trowbridge 28 - 29. Ken Barringer 29 - 28.,Mark Munoz ,0,53,102,51%,75 of 127,2,12,16%,2,1,4:08,34 of 81,11 of 12,8 of 9,19 of 56,21 of 26,13 of 20,Nick Catone ,0,38,82,46%,55 of 99,3,6,50%,1,0,3:10,21 of 63,14 of 16,3 of 3,14 of 51,11 of 17,13 of 14
UFC 102: Couture vs Nogueira,Tim Hague ,Todd Duffee ,Heavyweight Bout, KO/TKO ,1,0:07,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,Todd Duffee ,1,4,5,80%,5 of 6,0,0,---,0,0,0:04,4 of 5,0 of 0,0 of 0,1 of 1,0 of 0,3 of 4,Tim Hague ,0,0,1,0%,0 of 1,0,0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
