Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC Fight Night: Condit vs Kampmann 2,Erik Perez ,Takeya Mizugaki ,Bantamweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Gary Copeland,Glenn Trowbridge 29 - 28. Kelvin Caldwell 28 - 29. David Hinkel 28 - 29.,Takeya Mizugaki ,0,39,106,36%,59 of 126,2,5,40%,1,0,2:40,32 of 97,6 of 8,1 of 1,30 of 89,6 of 13,3 of 4,Erik Perez ,0,37,113,32%,49 of 127,5,11,45%,0,0,4:38,17 of 81,18 of 29,2 of 3,24 of 96,12 of 16,1 of 1
UFC Fight Night: Condit vs Kampmann 2,Robert Whittaker ,Court McGee ,Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Kelvin Caldwell 30 - 27. Sal D'amato 27 - 30. Robert Madrigal 28 - 29.,Court McGee ,0,88,305,28%,99 of 318,1,8,12%,0,0,0:34,41 of 213,28 of 63,19 of 29,84 of 296,4 of 9,0 of 0,Robert Whittaker ,0,48,184,26%,49 of 185,0,0,---,0,0,0:00,48 of 181,0 of 3,0 of 0,47 of 181,1 of 3,0 of 0
UFC Fight Night: Condit vs Kampmann 2,Brian Melancon ,Kelvin Gastelum ,Welterweight Bout, Submission ,1,2:26,3 Rnd (5-5-5),Rob Hinds,Rear Naked Choke,Kelvin Gastelum ,1,14,23,60%,14 of 24,1,2,50%,1,0,0:30,10 of 18,3 of 3,1 of 2,10 of 18,3 of 4,1 of 1,Brian Melancon ,0,7,21,33%,9 of 23,0,0,---,0,0,0:00,5 of 17,2 of 2,0 of 2,6 of 20,1 of 1,0 of 0
UFC Fight Night: Condit vs Kampmann 2,Donald Cerrone ,Rafael Dos Anjos ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Sal D'amato 28 - 29. Robert Madrigal 28 - 29. Glenn Trowbridge 28 - 29.,Donald Cerrone ,0,40,80,50%,43 of 83,1,1,100%,0,0,1:00,9 of 34,21 of 34,10 of 12,37 of 77,3 of 3,0 of 0,Rafael Dos Anjos ,1,39,109,35%,58 of 128,2,6,33%,0,0,3:50,21 of 78,14 of 25,4 of 6,30 of 91,1 of 1,8 of 17
UFC Fight Night: Condit vs Kampmann 2,Martin Kampmann ,Carlos Condit ,Welterweight Bout, KO/TKO ,4,0:54,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Body At Distance,Carlos Condit ,1,100,235,42%,147 of 282,0,2,0%,2,1,1:16,60%,15 of 25,0 of 1,0%,0,0,Martin Kampmann ,0,35,97,36%,43 of 108,6,15,40%,0,0,5:23,50%,4 of 8,1 of 2,50%,0,0
UFC Fight Night: Shogun vs Sonnen,Cody Donovan ,Ovince Saint Preux ,Light Heavyweight Bout, KO/TKO ,1,2:07,3 Rnd (5-5-5),Herb Dean,Punches to Head From Guard,Cody Donovan ,0,10,15,66%,18 of 23,0,3,0%,0,0,1:13,2 of 6,8 of 9,0 of 0,1 of 3,9 of 12,0 of 0,Ovince Saint Preux ,0,6,11,54%,8 of 13,0,0,---,0,0,0:10,6 of 11,0 of 0,0 of 0,0 of 3,0 of 1,6 of 7
UFC Fight Night: Shogun vs Sonnen,Cole Miller ,Manvel Gamburyan ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Steve Rita 27 - 30. Sal D'amato 28 - 29. Tony Weeks 28 - 29.,Manvel Gamburyan ,0,23,62,37%,84 of 126,5,7,71%,0,0,7:51,12 of 45,3 of 7,8 of 10,15 of 47,2 of 4,6 of 11,Cole Miller ,0,32,112,28%,94 of 175,0,0,---,0,0,0:06,28 of 105,4 of 7,0 of 0,22 of 101,8 of 9,2 of 2
UFC Fight Night: Shogun vs Sonnen,Daniel Pineda ,Diego Brandao ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Doug Crosby 28 - 29. David Ginsberg 28 - 29. Ryan Shea 28 - 29.,Diego Brandao ,0,42,86,48%,64 of 108,8,10,80%,0,0,4:26,31 of 66,9 of 17,2 of 3,35 of 72,1 of 1,6 of 13,Daniel Pineda ,0,61,160,38%,88 of 195,0,8,0%,0,1,2:48,47 of 141,12 of 17,2 of 2,33 of 117,4 of 4,24 of 39
UFC Fight Night: Shogun vs Sonnen,Mike Brown ,Steven Siler ,Featherweight Bout, KO/TKO ,1,0:50,3 Rnd (5-5-5),Yves Lavigne,Punch to Head In Clinch,Mike Brown ,0,3,3,100%,3 of 3,0,0,---,0,0,0:00,2 of 2,0 of 0,1 of 1,3 of 3,0 of 0,0 of 0,Steven Siler ,1,6,16,37%,6 of 17,0,0,---,0,0,0:06,5 of 15,0 of 0,1 of 1,2 of 8,0 of 0,4 of 8
UFC Fight Night: Shogun vs Sonnen,Max Holloway ,Conor McGregor ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Steve Rita 27 - 30. Tony Weeks 27 - 30. Ryan Shea 26 - 30.,Conor McGregor ,0,53,153,34%,71 of 173,4,5,80%,0,0,6:28,34 of 113,4 of 17,15 of 23,42 of 135,2 of 2,9 of 16,Max Holloway ,0,23,93,24%,32 of 104,0,0,---,0,0,0:00,10 of 71,1 of 4,12 of 18,22 of 92,1 of 1,0 of 0
